Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16",0805,2,4u7,
"C10, C11, C13, C15, C3, C4, C5",0603,7,1u,
C12,0603,1,10p,
C14,0805,1,2u2,
"C17, C8",0603,2,100n,
C2,0603,1,15p,
"C6, C9",0603,2,100p,
C7,0805,1,10u,
D1,D_SOD-323,1,BAT60A,
D2,LED_LiteOn_LTST-C230,1,Blue,C125109
D3,LED_LiteOn_LTST-C230,1,Red,C125107
D4,LED_LiteOn_LTST-C230,1,Green,C125106
D5,LED_LiteOn_LTST-C230,1,Yellow,C125108
J1,Hirose_FH12-26S-0.5SH_1x26-1MP_P0.50mm_Horizontal,1,Hirose FH12-26S-0.5SH(55),C202113
J3,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Hirose FH12A-24S-0.5SH(55),C506794
L1,1008,1,1uH,
Q1,SOT-23,1,MMBT3904,
Q2,SOT-23,1,BSS84,
R1,0603,1,1M37,
"R10, R11, R12, R16, R9",0603,5,680R,
"R13, R14, R15, R17",0603,4,10k,
R2,0603,1,150k,
"R3, R5, R6",0603,3,1k2,
R4,0603,1,40.2,
R7,0603,1,470R,
R8,0603,1,953k,
SW9,Nidec_Copal-SB-22A_edge,1,CL-SB-22A-11T,
U1,SOT-23-5,1,TPS61040DBV,C7722
U2,SOT-23,1,AP7375-33SA,C5944186
U3,TSOT-23-6,1,IQS211B00000000TS,
U4,SOIC-14_3.9x8.7mm_P1.27mm,1,CAP1206-1-SL,
