R14,C23179,0,0
C13,C14663,0,0
C39,C14663,0,0
C6,C1647,0,0
R33,C22975,0,0
R20,C23179,0,0
C66,C38523,0,0
FB1,C1017,0,0
C68,C14663,0,0
C64,C14663,0,0
R5,C21190,0,0
R41,C22978,0,0
R24,C23253,0,0
C56,C163537,0,0
R49,C25819,0,0
R42,C4190,0,0
C45,C57112,0,0
TP2,,1,1
R23,C25803,0,0
C38,C14663,0,0
C41,C14663,0,0
C11,C14663,0,0
C16,C57112,0,0
D10,C131795,0,0
C1,C14663,0,0
C46,C14663,0,0
C25,C15849,0,0
U2,,0,1
R31,C25804,0,0
J6,,1,1
X1,,0,1
J3,,1,1
R19,C23179,0,0
C42,C14663,0,0
D2,C2286,0,0
C5,C23630,0,0
J10,,1,1
C44,C14663,0,0
TP8,,1,1
J1,,0,1
H4,,1,1
R16,C23186,0,0
D7,C435944,0,0
FB3,C1017,0,0
C67,C38523,0,0
R40,C23018,0,0
H3,,1,1
R28,C25190,0,0
D5,,0,1
R38,C23153,0,0
J2,C165948,0,0
C14,C57112,0,0
C35,C1644,0,0
D3,C72043,0,0
C36,C14663,0,0
Q1,C67275,0,0
C50,C14663,0,0
C29,C23630,0,0
R37,C23018,0,0
C3,C1647,0,0
C31,C14663,0,0
C58,C163537,0,0
RV1,,0,1
R8,C21189,0,0
R12,C25804,0,0
R15,C23186,0,0
C9,C14663,0,0
R9,C25804,0,0
D8,C91059,0,0
U5,C11317,0,0
U3,C7519,0,0
C18,C110055,0,0
C12,C14858,0,0
R18,C25804,0,0
C55,C1630,0,0
R45,C4216,0,0
J4,,1,1
U8,,0,1
C59,C163537,0,0
TP6,,1,1
R2,C22962,0,0
C23,C14663,0,0
D4,C72038,0,0
TP1,,1,1
U11,C181459,0,0
R30,C22807,0,0
R39,C23153,0,0
IC1,,0,1
J9,,1,1
R17,C25804,0,0
R35,C4190,0,0
R36,C22978,0,0
C51,C57112,0,0
R7,C23179,0,0
C26,C19666,0,0
C34,C14663,0,0
C22,C14663,0,0
R29,C25190,0,0
R25,C23253,0,0
C24,C14663,0,0
C32,C14663,0,0
D9,C91059,0,0
FB2,C1017,0,0
C30,C59461,0,0
R6,C25804,0,0
C53,C57112,0,0
C8,C15849,0,0
U7,C360037,0,0
R54,C25804,0,0
C37,C14663,0,0
C52,C57112,0,0
SW1,C381038,0,0
C4,C57112,0,0
C27,C14663,0,0
C17,C15849,0,0
L1,,0,1
R1,C4190,0,0
R26,C23253,0,0
SW6,C381038,0,0
J5,,0,1
R46,C31850,0,0
C21,C1623,0,0
TP3,,1,1
R48,C23162,0,0
SW2,C381038,0,0
C54,C1620,0,0
U9,,0,1
TP7,,1,1
R27,C23253,0,0
TP5,,1,1
C57,C163537,0,0
D1,C72041,0,0
SW5,C381038,0,0
R34,C25804,0,0
D6,C91059,0,0
R47,C23162,0,0
C65,C90142,0,0
H1,,1,1
C60,C14663,0,0
SW7,C381038,0,0
TP4,,1,1
C2,C23630,0,0
R13,C23179,0,0
R10,C23179,0,0
R44,C25803,0,0
C7,C14663,0,0
U6,C360037,0,0
SW4,C381038,0,0
SW3,,0,1
R3,C23345,0,0
R43,C31850,0,0
H2,,1,1
C61,C57112,0,0
Y2,C97602,0,0
R4,C23345,0,0
C20,C21120,0,0
U10,,0,1
C49,C1630,0,0
C62,C380537,0,0
R11,C25804,0,0
C33,C15849,0,0
R32,C31850,0,0
C48,C14663,0,0
C43,C14663,0,0
Y1,C518156,0,0
J8,,0,1
C19,C14663,0,0
C47,C23630,0,0
U1,C41714,0,1
R53,C23153,0,0
J7,,0,1
R51,C23138,0,0
C40,,0,1
BT1,,0,1
