Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J8,+12V,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,131.8,-39.15,-90.0,top
R8,0,R_0603,84.25,-94.25,180.0,top
R52,0,R_0603,97.505,-51.875,-90.0,top
R23,100k,R_0603,87.55,-97.25,-90.0,top
R44,100k,R_0603,146.65,-40.7,0.0,top
C1,100n,C_0603,89.65,-88.6,-90.0,top
C7,100n,C_0603,101.75,-74.55,0.0,top
C9,100n,C_0603,84.25,-92.85,0.0,top
C11,100n,C_0603,83.55,-83.3,180.0,top
C12,100n,C_0603,90.55,-97.25,-90.0,top
C13,100n,C_0603,83.55,-73.35,180.0,top
C19,100n,C_0603,147.62452,-56.07548,180.0,top
C22,100n,C_0603,74.1,-79.15,90.0,top
C23,100n,C_0603,146.62452,-62.17548,180.0,top
C24,100n,C_0603,72.7,-79.15,-90.0,top
C27,100n,C_0603,83.55,-79.8,0.0,top
C31,100n,C_0603,94.485,-106.385,0.0,top
C32,100n,C_0603,72.9,-87.8,0.0,top
C36,100n,C_0603,83.885,-107.635,180.0,top
C38,100n,C_0603,73.95,-56.55,-90.0,top
C43,100n,C_0603,83.885,-104.835,180.0,top
C44,100n,C_0603,89.405,-57.075,90.0,top
C46,100n,C_0603,93.5,-92.85,0.0,top
C48,100n,C_0603,97.305,-68.175,-90.0,top
C50,100n,C_0603,79.005,-54.775,90.0,top
C60,100n,C_0603,82.355,-54.775,90.0,top
C64,100n,C_0603,150.0,-44.3,180.0,top
R6,10k,R_0603,134.65,-113.8,180.0,top
R9,10k,R_0603,134.65,-122.4,180.0,top
R11,10k,R_0603,123.65,-113.8,180.0,top
R12,10k,R_0603,123.65,-122.4,180.0,top
R17,10k,R_0603,145.65,-113.8,180.0,top
R18,10k,R_0603,145.75,-122.4,180.0,top
R34,10k,R_0603,72.9,-85.0,180.0,top
R58,10k,R_0603,106.9,-55.5,180.0,top
R59,10k,R_0603,102.65,-55.5,180.0,top
R60,10k,R_0603,106.9,-62.0,90.0,top
R61,10k,R_0603,102.65,-62.0,90.0,top
C4,10n,C_0603,91.05,-88.6,-90.0,top
C14,10n,C_0603,83.55,-74.75,180.0,top
C16,10n,C_0603,98.9,-88.6,-90.0,top
C45,10n,C_0603,94.505,-68.175,-90.0,top
C51,10n,C_0603,82.655,-66.075,90.0,top
C52,10n,C_0603,97.505,-57.075,-90.0,top
C53,10n,C_0603,84.005,-54.775,-90.0,top
C61,10n,C_0603,134.0,-49.5,90.0,top
L1,10u,L_Vishay_IHLP-2525,143.1,-47.15,90.0,top
C18,10u,CP_EIA-3216-18_Kemet-A,150.32452,-59.07548,90.0,top
C62,10u,C_1210_3225Metric,142.85,-39.15,180.0,top
R57,126k,R_0603,150.8,-50.3,-90.0,top
C3,12p,C_0603,76.5,-78.45,90.0,top
C6,12p,C_0603,81.4,-78.45,90.0,top
R30,150k,R_0603,84.25,-98.45,0.0,top
C35,15p,C_0603,91.035,-100.885,180.0,top
R5,1k,R_0603,94.6,-88.6,90.0,top
C10,1n,C_0603,97.25,-112.3,0.0,top
C8,1u,C_0603,83.55,-81.9,180.0,top
C17,1u,C_0603,97.5,-88.6,-90.0,top
C25,1u,C_0603,150.12452,-62.17548,0.0,top
C33,1u,C_0603,72.55,-56.55,-90.0,top
R3,22,R_0603,107.15,-73.8,90.0,top
R4,22,R_0603,105.75,-73.8,90.0,top
C20,220n,C_0603,94.485,-102.435,0.0,top
R2,22k,R_0603,97.25,-110.85,0.0,top
R31,22k,R_0603,94.485,-103.835,180.0,top
R43,22k,R_0603,94.505,-57.075,90.0,top
R45,22k,R_0603,93.855,-54.525,-90.0,top
R46,22k,R_0603,93.105,-57.075,-90.0,top
C30,22u,C_0603,71.15,-56.55,-90.0,top
C56,22u,CP_EIA-3216-18_Kemet-A,89.855,-53.425,270.0,top
C57,22u,CP_EIA-3216-18_Kemet-A,80.555,-51.875,180.0,top
C58,22u,CP_EIA-3216-18_Kemet-A,95.655,-53.425,270.0,top
C59,22u,CP_EIA-3216-18_Kemet-A,92.055,-53.425,270.0,top
C65,22u,C_1210_3225Metric,148.35,-49.25,90.0,top
R56,24k,R_0603,150.8,-47.7,-90.0,top
R28,27,R_0603,116.2,-50.01,-90.0,top
R29,27,R_0603,114.8,-50.01,-90.0,top
R33,2k,R_0603,83.885,-106.235,0.0,top
R1,2k2,R_0603,84.25,-97.05,180.0,top
R35,2k2,R_0603,72.9,-86.4,180.0,top
R42,2k2,R_0603,90.805,-57.075,90.0,top
C2,2u2,C_0603,96.1,-88.6,90.0,top
C5,2u2,C_0603,101.75,-75.95,180.0,top
C29,2u2,C_0603,93.5,-95.65,0.0,top
C47,2u2,C_0603,93.5,-94.25,0.0,top
R51,330,R_0603,108.98,-49.2,-90.0,top
R38,39k,R_0603,85.455,-66.075,90.0,top
R39,39k,R_0603,95.905,-68.175,90.0,top
R36,3k3,R_0603,84.055,-66.075,-90.0,top
R41,3k3,R_0603,96.105,-57.075,-90.0,top
R37,3k9,R_0603,93.105,-68.175,-90.0,top
R40,3k9,R_0603,85.405,-54.775,-90.0,top
R7,470,R_0603,126.95,-113.8,180.0,top
R10,470,R_0603,126.95,-122.4,180.0,top
R13,470,R_0603,115.95,-113.8,180.0,top
R14,470,R_0603,115.95,-122.4,180.0,top
R19,470,R_0603,137.95,-113.8,180.0,top
R20,470,R_0603,137.95,-122.4,180.0,top
C21,470n,C_0603,84.25,-95.65,180.0,top
C54,470p,C_0603,109.78,-47.1,0.0,top
C40,470u,CP_Elec_6.3x7.7,76.0,-114.7,0.0,top
R32,47k,R_0603,91.035,-102.285,180.0,top
R49,47k,R_0603,110.58,-49.2,90.0,top
R50,47k,R_0603,108.6,-73.8,90.0,top
R47,4k7,R_0603,80.7,-66.075,90.0,top
R48,4k7,R_0603,79.3,-66.075,90.0,top
C26,4u7,C_0603,71.3,-79.15,-90.0,top
R15,5k1,R_0603,121.9,-36.7,-90.0,top
R16,5k1,R_0603,109.1,-36.7,-90.0,top
R24,680R,R_0603,144.95,-72.5,180.0,top
R25,680R,R_0603,144.95,-71.0,180.0,top
R26,680R,R_0603,144.95,-69.5,180.0,top
R27,680R,R_0603,144.95,-68.0,180.0,top
C49,680p,C_0603,91.705,-68.175,-90.0,top
C55,680p,C_0603,86.805,-54.775,90.0,top
Y1,8 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,78.95,-78.45,-90.0,top
D6,BAT60A,D_SOD-323,145.2,-36.3,180.0,top
D8,BAT60A,D_SOD-323,148.32452,-53.67548,90.0,top
D9,BAT60A,D_SOD-323,119.0,-43.4,180.0,top
Q2,BSS138,SOT-23,106.9,-58.3,90.0,top
Q3,BSS138,SOT-23,102.65,-58.35,90.0,top
SW2,Button Down,SW_SPST_PTS645,130.81,-118.165,0.0,top
SW6,Button Enter,SW_SPST_PTS645,141.81,-109.565,0.0,top
SW4,Button Escape,SW_SPST_PTS645,119.81,-109.565,0.0,top
SW5,Button Left,SW_SPST_PTS645,119.81,-118.165,0.0,top
SW7,Button Right,SW_SPST_PTS645,141.81,-118.165,0.0,top
SW1,Button Up,SW_SPST_PTS645,130.81,-109.565,0.0,top
D5,DFLT18A-7 ,D_PowerDI-123,136.1,-49.0,-90.0,top
D4,Error,D_0603,147.55,-68.0,180.0,top
FB1,FB0805,L_0805,83.3,-85.0,180.0,top
FB2,FB0805,L_0805,142.0,-36.3,180.0,top
FB3,FB0805,L_0805,72.55,-53.65,90.0,top
Q1,IRLML2060,SOT-23,109.78,-44.5,90.0,top
J1,Kenwood-2.5,PJ-211A,72.35,-106.6,0.0,top
J5,Kenwood-3.5,PJ-3136-B,69.25,-95.6,0.0,top
IC1,LM4861M,SOIC-8_3.9x4.9mm_P1.27mm,89.335,-105.735,90.0,top
U1,MAX9814,DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,89.05,-94.05,90.0,top
U6,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,84.755,-60.475,0.0,top
U7,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,95.105,-62.575,180.0,top
D2,PTT,D_0603,147.55,-71.0,180.0,top
D1,Power,D_0603,147.55,-72.5,180.0,top
J7,Radio,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,85.65,-42.330331,180.0,top
SW3,Reset,ST-1185S,79.0,-84.125,90.0,top
U10,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,92.85,-79.65,270.0,top
D3,Sync,D_0603,147.55,-69.5,180.0,top
U2,TP6841S6,SOT-23-6,150.1375,-41.75,0.0,top
U11,TPS73233,SOT-23-5,147.42452,-58.87548,90.0,top
U3,USBLC6-2,SOT-23-6,115.5,-45.85,270.0,top
J2,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,115.5,-36.94,0.0,top
